,Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),Workload(GOP),DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s),
165,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.312,0.318,0.580,0.028,23.758,0.146,563.814,
166,ResidualBlock-in_32x56x56-out_32-k_5-e_4-s_1-act_relu-use_se_False,,,,,,,,,,
167,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.563,1.575,1.931,0.073,10.413,1.071,708.114,
168,ResidualBlock-in_96x14x14-out_136-k_7-e_4-s_1-act_h_swish-use_se_True,,,,,,,,,,
169,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.926,0.932,1.025,0.043,10.686,0.219,249.931,
170,ResidualBlock-in_24x112x112-out_32-k_7-e_6-s_2-act_relu-use_se_False,,,,,,,,,,
171,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,2.981,2.995,3.258,0.162,12.039,1.323,452.430,
172,ResidualBlock-in_96x14x14-out_96-k_7-e_4-s_1-act_h_swish-use_se_False,,,,,,,,,,
173,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.830,0.844,1.825,0.037,10.191,0.143,182.447,
174,ResidualBlock-in_192x7x7-out_192-k_5-e_6-s_1-act_h_swish-use_se_True,,,,,,,,,,
175,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.392,1.401,1.833,0.048,7.745,1.115,829.288,
176,ResidualBlock-in_96x14x14-out_96-k_3-e_3-s_1-act_h_swish-use_se_False,,,,,,,,,,
177,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.368,0.373,0.486,0.023,15.781,0.110,345.456,
178,ResidualBlock-in_24x112x112-out_32-k_5-e_6-s_2-act_relu-use_se_False,,,,,,,,,,
179,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.836,1.850,1.997,0.141,17.165,1.294,728.245,
180,ResidualBlock-in_24x112x112-out_32-k_7-e_4-s_2-act_relu-use_se_False,,,,,,,,,,
181,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,2.002,2.015,2.216,0.108,12.059,1.005,516.390,
182,ResidualBlock-in_96x14x14-out_96-k_3-e_6-s_1-act_h_swish-use_se_False,,,,,,,,,,
183,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.699,0.717,2.850,0.046,15.379,0.165,254.208,
184,ResidualBlock-in_136x14x14-out_192-k_7-e_6-s_2-act_h_swish-use_se_True,,,,,,,,,,
185,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.461,1.477,1.813,0.064,9.819,1.015,716.172,
