,Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),Workload(GOP),DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s),
37,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.730,0.734,0.919,0.025,8.008,0.426,628.155,
38,ResidualBlock-in_32x56x56-out_32-k_7-e_6-s_1-act_relu-use_se_False,,,,,,,,,,
39,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,3.741,3.754,4.229,0.138,8.092,1.467,397.557,
40,ResidualBlock-in_48x28x28-out_96-k_5-e_6-s_2-act_h_swish-use_se_False,,,,,,,,,,
41,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.197,1.203,1.293,0.036,6.852,1.654,1442.938,
42,ResidualBlock-in_48x28x28-out_96-k_5-e_3-s_2-act_h_swish-use_se_False,,,,,,,,,,
43,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.404,0.411,0.521,0.018,11.038,0.304,854.593,
44,ResidualBlock-in_192x7x7-out_192-k_7-e_4-s_1-act_h_swish-use_se_True,,,,,,,,,,
45,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.909,0.923,1.884,0.034,8.423,0.629,728.952,
46,ResidualBlock-in_136x14x14-out_192-k_7-e_4-s_2-act_h_swish-use_se_True,,,,,,,,,,
47,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.018,1.025,1.283,0.043,9.565,0.577,597.235,
48,ResidualBlock-in_48x28x28-out_48-k_5-e_4-s_1-act_relu-use_se_True,,,,,,,,,,
49,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.702,0.712,1.050,0.037,12.385,0.148,227.797,
50,ResidualBlock-in_96x14x14-out_136-k_3-e_4-s_1-act_h_swish-use_se_True,,,,,,,,,,
51,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.561,0.566,0.767,0.037,15.824,0.204,401.429,
52,ResidualBlock-in_96x14x14-out_136-k_3-e_3-s_1-act_h_swish-use_se_True,,,,,,,,,,
53,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.436,0.444,1.169,0.028,15.581,0.151,389.579,
54,ResidualBlock-in_96x14x14-out_136-k_7-e_6-s_1-act_h_swish-use_se_True,,,,,,,,,,
55,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.637,1.648,2.409,0.065,8.846,0.359,226.105,
56,ResidualBlock-in_48x28x28-out_48-k_7-e_4-s_1-act_relu-use_se_True,,,,,,,,,,
57,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.081,1.090,1.240,0.044,9.341,0.153,148.121,
