,Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),Workload(GOP),DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s)
31,ResidualBlock-in_136x14x14-out_136-k_3-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.06,1.066,1.211,0.061,13.144,0.366,362.506
33,ResidualBlock-in_32x56x56-out_32-k_3-e_4-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.869,0.886,1.447,0.06,15.803,1.065,1299.224
35,ResidualBlock-in_96x14x14-out_136-k_5-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.706,0.716,1.058,0.039,13.076,0.21,320.406
37,ResidualBlock-in_48x28x28-out_48-k_3-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.258,1.27,1.76,0.049,8.699,1.257,1038.327
39,ResidualBlock-in_192x7x7-out_192-k_7-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.73,0.734,0.919,0.025,8.008,0.426,628.155
41,ResidualBlock-in_32x56x56-out_32-k_7-e_6-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,3.741,3.754,4.229,0.138,8.092,1.467,397.557
43,ResidualBlock-in_48x28x28-out_96-k_5-e_6-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.197,1.203,1.293,0.036,6.852,1.654,1442.938
45,ResidualBlock-in_48x28x28-out_96-k_5-e_3-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.404,0.411,0.521,0.018,11.038,0.304,854.593
47,Conv_in-192x7x7_out-1152_k-1_act-h_swish,500,DPUCZDX8G_1:batch-1,0.521,0.525,0.737,0.022,10.075,0.275,584.119
49,ResidualBlock-in_192x7x7-out_192-k_7-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.909,0.923,1.884,0.034,8.423,0.629,728.952
51,ResidualBlock-in_136x14x14-out_192-k_7-e_4-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.018,1.025,1.283,0.043,9.565,0.577,597.235
53,ResidualBlock-in_48x28x28-out_48-k_5-e_4-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.702,0.712,1.05,0.037,12.385,0.148,227.797
55,ResidualBlock-in_96x14x14-out_136-k_3-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.561,0.566,0.767,0.037,15.824,0.204,401.429
