,Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),Workload(GOP),DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s),
31,ResidualBlock-in_32x56x56-out_32-k_3-e_4-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.869,0.886,1.447,0.060,15.803,1.065,1299.224,
33,ResidualBlock-in_96x14x14-out_136-k_5-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.706,0.716,1.058,0.039,13.076,0.210,320.406,
35,ResidualBlock-in_48x28x28-out_48-k_3-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.258,1.270,1.760,0.049,8.699,1.257,1038.327,
37,ResidualBlock-in_192x7x7-out_192-k_7-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.730,0.734,0.919,0.025,8.008,0.426,628.155,
39,ResidualBlock-in_32x56x56-out_32-k_7-e_6-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,3.741,3.754,4.229,0.138,8.092,1.467,397.557,
41,ResidualBlock-in_48x28x28-out_96-k_5-e_6-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.197,1.203,1.293,0.036,6.852,1.654,1442.938,
43,ResidualBlock-in_48x28x28-out_96-k_5-e_3-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.404,0.411,0.521,0.018,11.038,0.304,854.593,
45,ResidualBlock-in_192x7x7-out_192-k_7-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.909,0.923,1.884,0.034,8.423,0.629,728.952,
47,ResidualBlock-in_136x14x14-out_192-k_7-e_4-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.018,1.025,1.283,0.043,9.565,0.577,597.235,
49,ResidualBlock-in_48x28x28-out_48-k_5-e_4-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.702,0.712,1.050,0.037,12.385,0.148,227.797,
51,ResidualBlock-in_96x14x14-out_136-k_3-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.561,0.566,0.767,0.037,15.824,0.204,401.429,
53,ResidualBlock-in_96x14x14-out_136-k_3-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.436,0.444,1.169,0.028,15.581,0.151,389.579,
55,ResidualBlock-in_96x14x14-out_136-k_7-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.637,1.648,2.409,0.065,8.846,0.359,226.105,
57,ResidualBlock-in_48x28x28-out_48-k_7-e_4-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.081,1.090,1.240,0.044,9.341,0.153,148.121,
59,ResidualBlock-in_136x14x14-out_192-k_5-e_3-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.504,0.510,0.619,0.031,14.758,0.255,560.134,
61,ResidualBlock-in_136x14x14-out_192-k_3-e_3-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.496,0.518,3.154,0.030,14.536,0.249,549.590,
63,ResidualBlock-in_32x56x56-out_48-k_5-e_6-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.783,0.791,0.906,0.062,18.292,0.185,252.680,
65,ResidualBlock-in_192x7x7-out_192-k_5-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.634,0.644,0.847,0.024,8.763,0.413,704.177,
67,ResidualBlock-in_32x56x56-out_32-k_5-e_6-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,2.226,2.239,2.469,0.109,10.839,1.459,670.521,
69,ResidualBlock-in_32x56x56-out_48-k_7-e_4-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.822,0.829,1.612,0.046,12.949,0.173,224.735,
71,ResidualBlock-in_24x112x112-out_32-k_3-e_4-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.827,0.840,1.009,0.084,23.586,0.968,1251.440,
73,ResidualBlock-in_48x28x28-out_48-k_3-e_4-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.447,0.453,0.598,0.032,17.673,0.145,366.078,
75,ResidualBlock-in_48x28x28-out_48-k_5-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.646,1.658,1.815,0.056,7.573,1.264,791.108,
77,ResidualBlock-in_192x7x7-out_192-k_3-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.632,0.639,1.345,0.023,8.497,0.404,694.823,
79,ResidualBlock-in_24x112x112-out_32-k_5-e_4-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.239,1.257,1.470,0.094,17.132,0.988,831.924,
81,ResidualBlock-in_192x7x7-out_192-k_7-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.559,1.572,2.379,0.051,7.267,1.141,753.950,
83,ResidualBlock-in_24x112x112-out_24-k_3-e_1-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.886,0.903,1.267,0.021,5.529,1.436,1736.415,
85,ResidualBlock-in_136x14x14-out_192-k_7-e_3-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.551,0.557,0.958,0.032,13.827,0.264,527.661,
87,ResidualBlock-in_136x14x14-out_136-k_5-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.764,0.775,1.122,0.048,14.709,0.275,385.075,
89,ResidualBlock-in_192x7x7-out_192-k_5-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.778,0.784,0.941,0.032,9.445,0.612,839.820,
91,ResidualBlock-in_32x56x56-out_32-k_7-e_4-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,2.604,2.612,2.768,0.092,7.810,1.077,422.138,
93,ResidualBlock-in_136x14x14-out_136-k_5-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.908,1.919,2.144,0.097,11.326,0.635,341.684,
95,ResidualBlock-in_96x14x14-out_96-k_7-e_3-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.641,0.648,1.168,0.028,10.134,0.121,204.144,
97,ResidualBlock-in_32x56x56-out_48-k_3-e_6-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.531,0.543,0.727,0.057,25.527,0.170,351.691,
99,ResidualBlock-in_96x14x14-out_96-k_3-e_4-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.467,0.471,0.569,0.031,16.066,0.128,308.657,
101,ResidualBlock-in_24x112x112-out_24-k_7-e_1-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,2.098,2.115,2.583,0.045,4.807,1.437,704.971,
103,ResidualBlock-in_136x14x14-out_192-k_3-e_4-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.856,0.859,0.964,0.040,10.926,0.564,701.387,
105,ResidualBlock-in_136x14x14-out_136-k_7-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.996,1.006,1.695,0.052,11.987,0.284,300.641,
107,ResidualBlock-in_24x112x112-out_32-k_3-e_6-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.205,1.222,1.413,0.126,23.716,1.261,1092.943,
109,ResidualBlock-in_48x28x28-out_48-k_5-e_3-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.543,0.550,0.706,0.028,12.240,0.136,274.933,
111,ResidualBlock-in_136x14x14-out_136-k_7-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.594,1.606,2.132,0.070,9.775,0.387,250.010,
113,ResidualBlock-in_32x56x56-out_48-k_5-e_3-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.433,0.443,0.603,0.031,17.405,0.151,393.485,
115,ResidualBlock-in_96x14x14-out_96-k_5-e_4-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.612,0.617,0.717,0.033,12.804,0.134,238.551,
117,ResidualBlock-in_136x14x14-out_192-k_5-e_4-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.901,0.915,1.135,0.041,10.462,0.587,684.372,
119,ResidualBlock-in_136x14x14-out_136-k_3-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.596,1.607,1.903,0.092,12.880,0.623,402.163,
121,ResidualBlock-in_24x112x112-out_32-k_5-e_3-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.970,0.985,1.670,0.070,16.709,0.835,913.808,
123,ResidualBlock-in_96x14x14-out_96-k_7-e_6-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.259,1.266,1.422,0.055,9.904,0.187,155.087,
125,ResidualBlock-in_48x28x28-out_96-k_7-e_3-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.490,0.504,1.200,0.019,9.553,0.315,712.981,
127,ResidualBlock-in_24x112x112-out_32-k_3-e_3-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.660,0.675,0.833,0.063,22.584,0.821,1353.579,
129,ResidualBlock-in_32x56x56-out_48-k_7-e_6-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.184,1.193,1.366,0.069,13.198,0.199,176.119,
131,ResidualBlock-in_136x14x14-out_136-k_3-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.608,0.614,0.766,0.046,17.802,0.269,480.948,
133,ResidualBlock-in_192x7x7-out_192-k_3-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.267,1.283,1.680,0.046,8.184,1.097,896.229,
135,ResidualBlock-in_32x56x56-out_32-k_3-e_3-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.680,0.695,1.142,0.045,15.398,0.868,1373.346,
137,ResidualBlock-in_24x112x112-out_32-k_7-e_3-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.538,1.552,1.705,0.081,11.877,0.846,570.819,
139,ResidualBlock-in_48x28x28-out_96-k_3-e_6-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.138,1.151,1.576,0.034,6.844,1.612,1477.499,
141,ResidualBlock-in_32x56x56-out_32-k_3-e_6-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.221,1.232,1.450,0.089,16.588,1.453,1241.867,
143,ResidualBlock-in_48x28x28-out_48-k_7-e_3-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.828,0.838,0.982,0.033,9.278,0.139,178.739,
145,ResidualBlock-in_96x14x14-out_136-k_3-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.075,1.082,1.308,0.056,11.769,0.337,328.199,
147,ResidualBlock-in_32x56x56-out_48-k_3-e_4-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.379,0.387,0.621,0.038,24.930,0.153,462.891,
149,ResidualBlock-in_48x28x28-out_96-k_3-e_4-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.465,0.473,0.614,0.023,11.933,0.369,885.627,
151,ResidualBlock-in_32x56x56-out_48-k_7-e_3-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.628,0.634,0.779,0.034,12.993,0.157,272.678,
153,ResidualBlock-in_96x14x14-out_136-k_5-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.547,0.551,0.649,0.030,12.934,0.155,312.495,
155,ResidualBlock-in_32x56x56-out_32-k_5-e_3-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.185,1.196,1.351,0.054,10.437,0.870,767.570,
157,ResidualBlock-in_136x14x14-out_136-k_7-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,2.389,2.401,3.338,0.105,9.714,0.654,279.550,
159,ResidualBlock-in_48x28x28-out_96-k_5-e_4-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.517,0.527,0.939,0.024,11.213,0.388,829.891,
161,ResidualBlock-in_32x56x56-out_48-k_5-e_4-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.554,0.562,1.074,0.041,17.715,0.163,324.071,
163,ResidualBlock-in_192x7x7-out_192-k_3-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.780,0.787,1.057,0.030,9.064,0.600,821.685,
165,ResidualBlock-in_32x56x56-out_48-k_3-e_3-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.312,0.318,0.580,0.028,23.758,0.146,563.814,
167,ResidualBlock-in_32x56x56-out_32-k_5-e_4-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.563,1.575,1.931,0.073,10.413,1.071,708.114,
169,ResidualBlock-in_96x14x14-out_136-k_7-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.926,0.932,1.025,0.043,10.686,0.219,249.931,
171,ResidualBlock-in_24x112x112-out_32-k_7-e_6-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,2.981,2.995,3.258,0.162,12.039,1.323,452.430,
173,ResidualBlock-in_96x14x14-out_96-k_7-e_4-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.830,0.844,1.825,0.037,10.191,0.143,182.447,
175,ResidualBlock-in_192x7x7-out_192-k_5-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.392,1.401,1.833,0.048,7.745,1.115,829.288,
177,ResidualBlock-in_96x14x14-out_96-k_3-e_3-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.368,0.373,0.486,0.023,15.781,0.110,345.456,
179,ResidualBlock-in_24x112x112-out_32-k_5-e_6-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.836,1.850,1.997,0.141,17.165,1.294,728.245,
181,ResidualBlock-in_24x112x112-out_32-k_7-e_4-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,2.002,2.015,2.216,0.108,12.059,1.005,516.390,
183,ResidualBlock-in_96x14x14-out_96-k_3-e_6-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.699,0.717,2.850,0.046,15.379,0.165,254.208,
185,ResidualBlock-in_136x14x14-out_192-k_7-e_6-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.461,1.477,1.813,0.064,9.819,1.015,716.172,
